Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,3010.000000,3050.000000,2860.000000,2860.000000,2626.638184,690097300
2020-09-01,2900.000000,2970.000000,2840.000000,2900.000000,2663.374512,527037000
2020-09-08,2890.000000,2900.000000,2620.000000,2890.000000,2654.190430,801281400
2020-09-15,2890.000000,2910.000000,2770.000000,2810.000000,2580.718018,534008500
2020-09-22,2790.000000,2810.000000,2660.000000,2660.000000,2442.957275,506587300
2020-09-29,2690.000000,2760.000000,2540.000000,2650.000000,2433.773193,881353600
2020-10-06,2680.000000,2760.000000,2620.000000,2730.000000,2507.245605,600352600
2020-10-13,2730.000000,2850.000000,2680.000000,2710.000000,2488.877441,741920400
2020-10-20,2710.000000,2740.000000,2630.000000,2650.000000,2433.773193,831416000
2020-10-27,2640.000000,2690.000000,2550.000000,2560.000000,2351.116699,537877200
2020-11-03,2570.000000,2900.000000,2540.000000,2880.000000,2645.006348,1160871100
2020-11-10,2950.000000,3100.000000,2860.000000,3070.000000,2819.503418,1238331700
2020-11-17,3100.000000,3340.000000,3100.000000,3320.000000,3049.104492,1424827900
2020-11-24,3350.000000,3500.000000,3220.000000,3230.000000,2966.448242,1622639700
2020-12-01,3230.000000,3360.000000,3160.000000,3330.000000,3058.288574,932495800
2020-12-08,3350.000000,3350.000000,3250.000000,3320.000000,3049.104492,778995600
2020-12-15,3320.000000,3640.000000,3290.000000,3520.000000,3232.785645,1570888700
2020-12-22,3500.000000,3540.000000,3240.000000,3430.000000,3150.129150,730065700
2020-12-29,3500.000000,3530.000000,3310.000000,3490.000000,3205.233154,500709800
2021-01-05,3480.000000,3640.000000,3330.000000,3600.000000,3306.257813,1239775400
2021-01-12,3600.000000,3620.000000,3430.000000,3450.000000,3168.497070,811774600
2021-01-19,3470.000000,3520.000000,3310.000000,3370.000000,3095.024902,625156700
2021-01-26,3360.000000,3390.000000,3040.000000,3230.000000,2966.448242,739052700
2021-02-02,3300.000000,3370.000000,3220.000000,3280.000000,3012.368408,430754100
2021-02-09,3250.000000,3300.000000,3160.000000,3220.000000,2957.264160,451524600
2021-02-16,3200.000000,3270.000000,3140.000000,3170.000000,2911.343750,517972000
2021-02-23,3200.000000,3570.000000,3200.000000,3490.000000,3205.233154,1206337500
2021-03-02,3490.000000,3500.000000,3320.000000,3340.000000,3067.472412,602635100
2021-03-09,3370.000000,3480.000000,3280.000000,3380.000000,3104.208984,351995200
2021-03-16,3400.000000,3480.000000,3360.000000,3380.000000,3104.208984,417579300
2021-03-23,3390.000000,3500.000000,3320.000000,3410.000000,3131.760986,409128100
2021-03-30,3420.000000,3440.000000,3330.000000,3380.000000,3104.208984,310524900
2021-04-06,3400.000000,3430.000000,3300.000000,3310.000000,3039.920410,320265000
2021-04-13,3340.000000,3370.000000,3300.000000,3340.000000,3067.472412,266974300
2021-04-20,3330.000000,3350.000000,3250.000000,3250.000000,2984.816162,252712500
2021-04-27,3240.000000,3260.000000,3130.000000,3170.000000,2911.343750,638932000
2021-05-04,3180.000000,3220.000000,3150.000000,3170.000000,2911.343750,430838300
2021-05-11,3170.000000,3200.000000,3150.000000,3190.000000,2929.711914,208353300
2021-05-18,3190.000000,3350.000000,3150.000000,3260.000000,2994.000244,492147900
2021-05-25,3290.000000,3460.000000,3260.000000,3440.000000,3159.312988,538977600
2021-06-01,3490.000000,3570.000000,3420.000000,3550.000000,3260.337646,381625800
2021-06-08,3550.000000,3550.000000,3310.000000,3410.000000,3131.760986,510680400
2021-06-15,3410.000000,3440.000000,3260.000000,3300.000000,3183.556152,392627000
2021-06-22,3300.000000,3420.000000,3170.000000,3170.000000,3058.143311,397254000
2021-06-29,3190.000000,3260.000000,3010.000000,3040.000000,2932.730469,704952300
2021-07-06,3050.000000,3190.000000,3000.000000,3130.000000,3019.554688,703550000
2021-07-13,3160.000000,3230.000000,3020.000000,3220.000000,3106.379150,435788600
2021-07-20,3220.000000,3260.000000,3140.000000,3190.000000,3077.437744,286619300
2021-07-27,3210.000000,3310.000000,3150.000000,3310.000000,3193.203369,448009400
2021-08-03,3310.000000,3400.000000,3220.000000,3250.000000,3135.320557,344527600
2021-08-10,3240.000000,3380.000000,3190.000000,3340.000000,3222.144775,249356800
2021-08-17,3360.000000,3440.000000,3350.000000,3440.000000,3318.616211,441306500
2021-08-24,3410.000000,3420.000000,3310.000000,3400.000000,3280.027588,318309100
2021-08-31,3400.000000,3420.000000,3330.000000,3390.000000,3270.380371,384908200
2021-09-07,3410.000000,3410.000000,3300.000000,3350.000000,3231.791748,303131100
2021-09-14,3380.000000,3530.000000,3350.000000,3520.000000,3395.793213,499037300
2021-09-21,3500.000000,3610.000000,3480.000000,3520.000000,3395.793213,426948300
2021-09-28,3510.000000,3690.000000,3490.000000,3670.000000,3540.500244,453799200
2021-10-05,3670.000000,3850.000000,3620.000000,3810.000000,3675.560303,521088400
2021-10-12,3780.000000,3840.000000,3750.000000,3790.000000,3656.266113,401116500
2021-10-19,3750.000000,3880.000000,3720.000000,3780.000000,3646.618896,348642200
2021-10-26,3800.000000,3830.000000,3700.000000,3700.000000,3569.441650,307854300
2021-11-02,3700.000000,3780.000000,3620.000000,3750.000000,3617.677490,374456300
2021-11-09,3730.000000,3740.000000,3600.000000,3600.000000,3472.970459,447872800
2021-11-16,3590.000000,3930.000000,3590.000000,3800.000000,3665.913086,752202500
2021-11-23,3800.000000,4170.000000,3780.000000,4140.000000,3993.916016,860624600
2021-11-30,4150.000000,4250.000000,3990.000000,4170.000000,4022.857422,956110500
2021-12-07,4180.000000,4200.000000,4010.000000,4080.000000,3936.033203,478632800
2021-12-14,4120.000000,4150.000000,4010.000000,4080.000000,3936.033203,480735700
2021-12-21,4110.000000,4190.000000,4070.000000,4080.000000,3936.033203,262945600
2021-12-28,4080.000000,4180.000000,4040.000000,4180.000000,4032.504395,181552400
